radical_no,char,radical_char,description,pinyin,strokes
9,仈,人,person,rén,2
9,仉,人,person,rén,2
9,今,人,person,rén,2
9,介,人,person,rén,2
9,仌,人,person,rén,2
9,仍,人,person,rén,2
9,从,人,person,rén,2
9,仏,人,person,rén,2
9,仐,人,person,rén,2
9,仑,人,person,rén,2
9,仒,人,person,rén,2
9,仓,人,person,rén,2
9,仔,人,person,rén,2
9,仕,人,person,rén,2
9,他,人,person,rén,2
9,仗,人,person,rén,2
9,付,人,person,rén,2
9,仙,人,person,rén,2
9,仚,人,person,rén,2
9,仛,人,person,rén,2
9,仜,人,person,rén,2
9,仝,人,person,rén,2
9,仞,人,person,rén,2
9,仟,人,person,rén,2
9,仠,人,person,rén,2
9,仡,人,person,rén,2
9,仢,人,person,rén,2
9,代,人,person,rén,2
9,令,人,person,rén,2
9,以,人,person,rén,2
9,仦,人,person,rén,2
9,仧,人,person,rén,2
9,仨,人,person,rén,2
9,仩,人,person,rén,2
9,仪,人,person,rén,2
9,仫,人,person,rén,2
9,们,人,person,rén,2
9,仭,人,person,rén,2
9,仮,人,person,rén,2
9,仯,人,person,rén,2
9,仰,人,person,rén,2
9,仱,人,person,rén,2
9,仲,人,person,rén,2
9,仳,人,person,rén,2
9,仴,人,person,rén,2
9,仵,人,person,rén,2
9,件,人,person,rén,2
9,价,人,person,rén,2
9,仸,人,person,rén,2
9,仹,人,person,rén,2
9,仺,人,person,rén,2
9,任,人,person,rén,2
9,仼,人,person,rén,2
9,份,人,person,rén,2
9,仾,人,person,rén,2
9,仿,人,person,rén,2
9,伀,人,person,rén,2
9,企,人,person,rén,2
9,伂,人,person,rén,2
9,伃,人,person,rén,2
9,伄,人,person,rén,2
9,伅,人,person,rén,2
9,伆,人,person,rén,2
9,伇,人,person,rén,2
9,伈,人,person,rén,2
9,伉,人,person,rén,2
9,伊,人,person,rén,2
9,伋,人,person,rén,2
9,伌,人,person,rén,2
9,伍,人,person,rén,2
9,伎,人,person,rén,2
9,伏,人,person,rén,2
9,伐,人,person,rén,2
9,休,人,person,rén,2
9,伒,人,person,rén,2
9,伓,人,person,rén,2
9,伔,人,person,rén,2
9,伕,人,person,rén,2
9,伖,人,person,rén,2
9,众,人,person,rén,2
9,优,人,person,rén,2
9,伙,人,person,rén,2
9,会,人,person,rén,2
9,伛,人,person,rén,2
9,伜,人,person,rén,2
9,伝,人,person,rén,2
9,伞,人,person,rén,2
9,伟,人,person,rén,2
9,传,人,person,rén,2
9,伡,人,person,rén,2
9,伢,人,person,rén,2
9,伣,人,person,rén,2
9,伤,人,person,rén,2
9,伥,人,person,rén,2
9,伦,人,person,rén,2
9,伧,人,person,rén,2
9,伨,人,person,rén,2
9,伪,人,person,rén,2
9,伫,人,person,rén,2
9,伬,人,person,rén,2
9,伭,人,person,rén,2
9,伮,人,person,rén,2
9,伯,人,person,rén,2
9,估,人,person,rén,2
9,伱,人,person,rén,2
9,伲,人,person,rén,2
9,伳,人,person,rén,2
9,伴,人,person,rén,2
9,伵,人,person,rén,2
9,伶,人,person,rén,2
9,伷,人,person,rén,2
9,伸,人,person,rén,2
9,伹,人,person,rén,2
9,伺,人,person,rén,2
9,伻,人,person,rén,2
9,似,人,person,rén,2
9,伽,人,person,rén,2
9,伾,人,person,rén,2
9,伿,人,person,rén,2
9,佀,人,person,rén,2
9,佁,人,person,rén,2
9,佂,人,person,rén,2
9,佃,人,person,rén,2
9,佄,人,person,rén,2
9,佅,人,person,rén,2
9,但,人,person,rén,2
9,佇,人,person,rén,2
9,佈,人,person,rén,2
9,佉,人,person,rén,2
9,佊,人,person,rén,2
9,佋,人,person,rén,2
9,佌,人,person,rén,2
9,位,人,person,rén,2
9,低,人,person,rén,2
9,住,人,person,rén,2
9,佐,人,person,rén,2
9,佑,人,person,rén,2
9,佒,人,person,rén,2
9,体,人,person,rén,2
9,佔,人,person,rén,2
9,何,人,person,rén,2
9,佖,人,person,rén,2
9,佗,人,person,rén,2
9,佘,人,person,rén,2
9,余,人,person,rén,2
9,佚,人,person,rén,2
9,佛,人,person,rén,2
9,作,人,person,rén,2
9,佝,人,person,rén,2
9,佞,人,person,rén,2
9,佟,人,person,rén,2
9,你,人,person,rén,2
9,佡,人,person,rén,2
9,佢,人,person,rén,2
9,佣,人,person,rén,2
9,佤,人,person,rén,2
9,佥,人,person,rén,2
9,佦,人,person,rén,2
9,佧,人,person,rén,2
9,佨,人,person,rén,2
9,佩,人,person,rén,2
9,佪,人,person,rén,2
9,佫,人,person,rén,2
9,佬,人,person,rén,2
9,佭,人,person,rén,2
9,佮,人,person,rén,2
9,佯,人,person,rén,2
9,佰,人,person,rén,2
9,佱,人,person,rén,2
9,佲,人,person,rén,2
9,佳,人,person,rén,2
9,佴,人,person,rén,2
9,併,人,person,rén,2
9,佶,人,person,rén,2
9,佷,人,person,rén,2
9,佸,人,person,rén,2
9,佹,人,person,rén,2
9,佺,人,person,rén,2
9,佻,人,person,rén,2
9,佼,人,person,rén,2
9,佽,人,person,rén,2
9,佾,人,person,rén,2
9,使,人,person,rén,2
9,侀,人,person,rén,2
9,侁,人,person,rén,2
9,侂,人,person,rén,2
9,侃,人,person,rén,2
9,侄,人,person,rén,2
9,侅,人,person,rén,2
9,來,人,person,rén,2
9,侇,人,person,rén,2
9,侈,人,person,rén,2
9,侉,人,person,rén,2
9,侊,人,person,rén,2
9,例,人,person,rén,2
9,侌,人,person,rén,2
9,侍,人,person,rén,2
9,侎,人,person,rén,2
9,侏,人,person,rén,2
9,侐,人,person,rén,2
9,侑,人,person,rén,2
9,侒,人,person,rén,2
9,侓,人,person,rén,2
9,侔,人,person,rén,2
9,侕,人,person,rén,2
9,侖,人,person,rén,2
9,侗,人,person,rén,2
9,侘,人,person,rén,2
9,侙,人,person,rén,2
9,侚,人,person,rén,2
9,供,人,person,rén,2
9,侜,人,person,rén,2
9,依,人,person,rén,2
9,侞,人,person,rén,2
9,侟,人,person,rén,2
9,侠,人,person,rén,2
9,価,人,person,rén,2
9,侢,人,person,rén,2
9,侣,人,person,rén,2
9,侤,人,person,rén,2
9,侥,人,person,rén,2
9,侦,人,person,rén,2
9,侧,人,person,rén,2
9,侨,人,person,rén,2
9,侩,人,person,rén,2
9,侪,人,person,rén,2
9,侫,人,person,rén,2
9,侬,人,person,rén,2
9,侭,人,person,rén,2
9,侮,人,person,rén,2
9,侯,人,person,rén,2
9,侰,人,person,rén,2
9,侱,人,person,rén,2
9,侲,人,person,rén,2
