_id,count,pinyin_list,defn_list
麼,2,"[""yāo"",""mo""]","[""/exclamatory final particle/interrogative final particle/suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc/"",""/tiny/insignificant/""]"
䠀,2,"[""chǎng"",""tàng""]","[""/to squat/to sit/"",""/old variant of 趟[tang1]/""]"
薳,2,"[""tuǒ"",""wěi""]","[""/(arch.) type of grass/"",""/surname Wei/""]"
唫,2,"[""yín"",""yín""]","[""/old variant of 吟[yin2]/"",""/to stutter/to shut one's mouth/Taiwan pr. [yin2]/variant of 崟[yin2]/""]"
祇,2,"[""zhǐ"",""qí""]","[""/variant of 只[zhi3]/"",""/god of the earth/""]"
糺,2,"[""jīu"",""jīu""]","[""/army (used during the Liao, Jin and Yuan dynasties)/"",""/old variant of 糾|纠[jiu1]/""]"
要著,2,"[""yào zháo"",""yào zhù""]","[""/important thing/crucial thing/"",""/important book/""]"
榜,2,"[""bèng"",""bǎng""]","[""/to row/oar/Taiwan pr. [beng4]/to whip/Taiwan pr. [beng4]/"",""/notice or announcement/list of names/public roll of successful examinees/""]"
藉,2,"[""jiè"",""jiè""]","[""/variant of 借[jie4]/"",""/surname Ji/to insult/to walk all over (sb)/sleeping mat/to placate/""]"
菑,2,"[""zāi"",""zī""]","[""/old variant of 災|灾[zai1]/"",""/field recently opened for cultivation/surname Zi/""]"
著,2,"[""zháo"",""zhù""]","[""/(chess) move/trick/all right!/(dialect) to add/to touch/to come in contact with/to feel/to be affected by/to catch fire/to burn/(coll.) to fall asleep/(after a verb) hitting the mark/succeeding in/aspect particle indicating action in progress/to wear (clothes)/to contact/to use/to apply/"",""/to make known/to show/to prove/to write/book/outstanding/""]"
託,2,"[""tuō"",""tuō""]","[""/to trust/to entrust/to be entrusted with/to act as trustee/"",""/variant of 託|托[tuo1]/""]"
瞭,2,"[""le"",""liǎo""]","[""/(of eyes) bright/clear-sighted/to understand clearly/unofficial variant of 瞭[liao4]/"",""/to watch from a height or distance/to survey/""]"
讎,2,"[""chóu"",""chóu""]","[""/variant of 仇[chou2]/"",""/to collate/to proofread/""]"
殽,2,"[""yáo"",""yáo""]","[""/variant of 淆[xiao2]/"",""/variant of 肴[yao2]/""]"
妳,2,"[""nǎi"",""nǎi""]","[""/variant of 嬭|奶[nai3]/"",""/you (female)/variant of 你[ni3]/""]"
靦,2,"[""tiǎn"",""miǎn""]","[""/variant of 靦|腼[mian3]/"",""/bashful/""]"
覆,2,"[""fù"",""fù""]","[""/variant of 復|复[fu4]/to reply to a letter/"",""/to cover/to overflow/to overturn/to capsize/""]"
冣,2,"[""jù"",""zùi""]","[""/old variant of 聚[ju4]/"",""/old variant of 最[zui4]/""]"
邨,2,"[""cūn"",""cūn""]","[""/variant of 村[cun1]/"",""/surname Cun/""]"
籑,2,"[""zhuàn"",""zhuàn""]","[""/old variant of 撰[zhuan4]/"",""/old variant of 饌|馔[zhuan4]/""]"
惏,2,"[""lán"",""lín""]","[""/old variant of 婪[lan2]/"",""/cold/frigid/""]"
炤,2,"[""zhào"",""zhào""]","[""/surname Zhao/"",""/variant of 照[zhao4]/to shine/to illuminate/""]"
